tid,text,gt
0,"Knocked doors with the venerable #TeamTrudeau #lpc candidate @USER this aft in my hometown , Aurora ! #elxn42",1
1,Canvassing for @USER #yegfed #elxn42,1
2,""" "" I think it 's time for change "" "" - Ana Commit to Vote : #GenerationTrudeau #SFU #LPC #elxn42 HTTPURL",1
3,Rdy to watch @USER rock it tnight in the @USER debate at @USER Café #NDP #cdnpoli #elxn42,1
4,Ca n't wait to vote for @USER and @USER on October 19 . #cdnpoli #elxn42 #RealChange Go @USER,1
5,"Vote for NDP is vote for another Harper . #elxn42 Andrew Thomson , Mulcair 's financial adviser HTTPURL",0
6,? ? Who is who and does what in the #elxn42 Conservative War Room ? #CPC #CDNpoli #CANpoli HTTPURL,2
7,... this particular government – led by this particular PM – plays by a different set of rules . #cdnpoli #elxn42,2
8,This year I 'm voting Alliance . #Elxn42,0
9,Great AM with riding neighbors @USER & @USER sharing our #LPC plan for #RealChange ! #DVW #elxn42,1
10,Another good question for @USER @USER Can you explain this to Canadians ? #elxn42 #polqc #fed2015,0
11,"Laureen Harper speaks at gathering hosted by MP Rona Ambrose this morning in Stony Plain , Alta . #elxn42 @USER",1
12,Ford fans launch website urging Doug to run for Harper 's job : #cdnpoli #elxn42 #cpc HTTPURL,1
13,#ndpmajority on the way ! #elxn42 @USER introduces @USER our next PM ! #stopharper #heavesteve,1
14,The Ballot Question in 2015 ? Integrity Matters . #cdnpoli #elxn42 #elxn2015 HTTPURL,0
15,Live in #Winnipeg South Centre riding ? I recommend looking into @USER #elxn2015 park4wsc.ca @USER,1
16,"And the "" "" other "" "" guy is just not ready ? 1 - man-show ? #elxn2015 #elxn42 #cdnpoli #nicetoupeethough #Harperman #peegate",0
17,This girl in the background shares my feelings of Mr . Harper when he speaks . #elxn42 #yawn,1
18,Throwback Thursday #Cdnpoli #elxn42 #Syria #AlanKurdi #Chrisalexander HTTPURL,0
19,Had another great time with @USER #RenaissanceFestival,1
20,"Canada among most vulnerable large economies . Quick , rearrange deckchairs . #cdnpoli #elxn42 HTTPURL",2
21,"Jason Kenny Redefines "" "" deficit "" "" Next gives opinion on "" "" Unicorns and leprechauns "" "" #cdnpoli #elxn42",0
22,Wonderful morning at Mon Sheong meeting seniors who want #realchange . Thx Martin for the tour ! #LPC #AORRH #elxn42,1
23,"Too good not to share ! Brodie , Giorno , Wright , Novack , & now for your political meme pleasure ... #elxn42 #cdnpoli",0
24,"Another day , another sign going up - massive support for @USER in Mississauga Centre ! #elxn42 #misspoli",1
25,Some of the #LPC candidates here in #Edmonton : @USER @USER @USER & @USER ! #elxn42,0
26,@USER @USER Seems that your assessment about #veterans not supporting #Harper is shared #elxn42,0
27,"CPC candidate Gabriel Purcarus , when I asked him about his deleted FB page . #elxn42 #cdnpoli",2
28,So what happened in 2007 ? @USER @USER @USER @USER,2
29,"Reasons to Donate PC Party , Progressive Canadian Party - Today : Veteran 's Affairs ... #elxn42 HTTPURL",0
30,"#TeamJustin / @USER is solar ; 2day , volunteering 4 Omar / . @USER #Mississauga #RealChange #LPC #elxn42",1
31,Amazing @USER introduces @USER . So cool that both also have women campaign managers ! #cdnpoli #elxn42,1
32,Jack Welch : Only 2 Words Matter for Leaders : Truth & Trust #elxn42,1
33,Larry Koopman will vote 2015 because we must preserve our democracy ! #iwillvote2015 #bcrc15 #elxn42 #cdnpoli,0
34,We need 2400 users in #MetroVancouver . You can be one of the first : - #elxn42 #yvr #cdnpoli HTTPURL,1
35,Growing the economy requires a strong team . The depth of experience of the #LPC is incredible & unmatched . #elxn42,0
36,Powerful new attack ad by @USER looking for funding to air on TV ... #elxn42 #cdnpoli HTTPURL,0
37,Integrity Matters : Social Contract w Canada must be honoured – Progressive Canadians #elxn42 HTTPURL,1
38,PCParty Hon Sinclair Stevens former Progressive Conservative PM Joe Clark on refugees #elxn42 HTTPURL,0
39,"Trudeau 's first economic move if he were PM , call for a first ministers meeting on climate change . #cdnpoli #elxn42",1
40,Prosperity Canada - PC Party SEVEN PILLARS FOR BRINGING PROSPERITY TO CANADA #elxn42 HTTPURL,0
41,The Delusions of David Frum 's Mind — Canada 's Prodigal Republican Son : #cdnpoli #elxn42 #CPC HTTPURL,0
42,Post rally ice cream stop with the #ParkHP team ! Thanks for the delicious ice cream @USER ! #TM4PM #elxn42,1
43,Who Led Defending Canadians Rights & Freedoms ? @USER Spoke Out When No Other Pol Would #cdnpoli #elxn42 #C51,0
44,Harper calls on Vets for support Staff does n't read the whole email #cdnpoli #elxn42,2
45,Katha Fortier will vote in 2015 because she wants our Canada back ! #uniforcc #elxn42 #iwillvote2015,1
46,"You live by the surveillance state , you die by the surveillance state #peegate #elxn42",2
47,"Laura Weston , NDP Candidate for Midnapore Calgary @USER Exciting ! ! #elxn2015 #indigenous #vote #yyc #ndp",1
48,Wind destroys flimsy #elxn42 signs at 78th & King George but one strong one remains ! @USER #SurreyBC,1
49,Want to ask an #elxn42 candidate a question ? #yvr #metrovancouver HTTPURL,1
50,Much LPC NDP do do about nothin : ) #elxn42 #polqc,0
51,@USER announcing @USER plan for improving Canada 's Health Care - #TM4PM #elxn42,0
52,Gun Registry & @USER ... another : will he or wo n't he ? #cdnpoli #polqc #elxn42 #fed2015,0
53,Harper Policies Cut Manufacturing from 18 % of Cda 's Economy in 2000 to 10 % #cdnpoli #elxn42 HTTPURL,1
54,"@USER Yes , yes there is ! #Winnipeg for @USER #TM4PM #elxn42",0
55,. @USER Why is your sign on my lawn ? We did n't request this . @USER #elxn42 #yyc,2
56,#HarperScoutBadges Official Email Intern #StopHarper #heavesteve #cdnpoli #elxn42,0
57,Orange wave rolled into Vancouver today . #yvr #elxn42 #cdnpoli #NDP #NDP2015,0
58,Did n't follow #elxn42 last week ? Check out our HATLEY Report for everything you need to know HTTPURL,1
59,He will vote in 2015 because he wants his Canada back ! #iwillvote2015 #cdnpoli #elxn42 #bcrc15,1
60,". @USER On 6/21 , I ran the 47km #Cloverdale - #Langley City riding boundary ? ? Does that count ? #VoteHealthy #Elxn42",0
61,@USER hints @USER apology . Not attending @USER debate & #CONblocks electors . #cdnpoli #elxn42 #chickenParm,1
62,Met Hon . @USER after hearing @USER announce faster professional certification 4 new Canadians ! #elxn42,1
63,"Brilliant cat , that . #elxn42",0
64,Everyone is hyped for @USER in #Abbotsford ! #RallyintheValley ! #MMFC #elxn42,1
65,Here 's Tom trying to convince Canadians that socialism is n't socialism ... #elxn42 #polqc,1
66,"C'mon , wake up rest of Canada and come play on #Elxn42 ( nobody west of Ontario ) HTTPURL .",1
67,"We 're talking #healthcare , and j could n't be happier . Proud of @USER and the #NDP . #vote4care #elxn42",1
68,. @USER makes another pointless promise & #Novak new nothing #duffygate #elxn42,2
69,Support organizations like @USER that call for evidence informed policies on drugs . #elxn42 #cdnpoli,1
70,@USER These many yrs of fed'l hsg ministers that did n't launch a nat'l hsg program . #elxn42 #housing4all15,0
71,"Senior Conservatives buy into "" "" fact "" "" pulled from nether region by serial fantasist . #cdnpoli #elxn42",0
72,"Local Dark Horse gets in on the #elxn42 game , if only the voting process was as easy as buying a coffee #cdnpoli",0
73,@USER why would you say something so derogatory ? #cdnpoli #teamiqra #TeamTrudeau #elxn2015 #Mississauga,0
74,@USER #elxn42 #cdnpoli Yukoners ' are lucky to have the baddest of badass MPs representing them Go get em Ryan !,1
75,"Hey @USER , I thought you were n't going to pander to the politics of fear and divisiveness ? #elxn42",0
76,Just a #TeenyTinyRECESSION ! ! #CdnPoli #Elxn42 #HarpersRecession @USER,2
77,#elxn42 #elxn2015 How @USER learned to dodge questions #cdnpoli,0
78,Ray Novak may have been #Fifed But @USER was #CLARKED by @USER #elxn42 #cdnpoli,0
79,. @USER @USER re #C51 - we need to stop the creep ( of degradation of civil liberties ) #yyccentre #elxn42,0
80,"Rona Ambrose and Laureen Harper speak at a gathering this morning in Stony Plain , Alta . #elxn42 @USER",1
81,Ready for the roundtable discussion today in #richmondbc . #cdnpoli #elxn42,0
82,"Got the coolest button today , thanks @USER ! Only 42 days left ! #elxn42",1
83,Do not understand why #LPC keeps using this cheesy imagery . How do boxing & prime-ministership correspond ? #elxn42,2
84,Election most important for Sask . economy ' in a generation ' : expert #spnews #news #elxn42 HTTPURL,0
85,Great crowds @USER #elxn42 #polqc not sure where it is ..,0
86,. @USER column : Harper 's refugee crisis response is hampering his campaign #elxn42 HTTPURL,0
87,Canadian politics is so much fun . #GoStuffYourself #elxn2015,1
88,Why am I part of #GenerationTrudeau ? bc @USER cares about #realchange for students across Canada ! #elxn42,1
89,Liberals offering retirement security for seniors #TeamDamoff #BurlON #Oakville #elxn42 HTTPURL,1
90,Transfers make great incentives #elxn42 #polqc,1
91,This wee guy did n't pee on my porch . AFAIK . #peegate #cdnpoli #elxn42,2
92,Canada 's Harsh ' Austerity ' Policies Started with Paul Martin & the Liberals : #cdnpoli #elxn42 HTTPURL,0
93,@USER I 'm walking across #Canada raising awareness for #palliativecare #seniorcare . Need it on #elxn42 agenda,1
94,Nurses vote ! #elxn42 #rnao platform . Yes to #sdoh #affordablehousing HTTPURL,1
95,Another ... CDN Media Guild : How to Champion Public Broadcasting during the election | #elxn42 HTTPURL,0
96,"NDP 's @USER up now , talking about lack of affordable housing and poverty . #yxe #yxewest #elxn42",1
97,My folks have their @USER sign up for #Winnipeg South Centre ! @USER #elxn42,1
98,Saw this walking about today . Tories be feeling the love in #yyt ! #StopHarper #elxn42 #cdnpoli #nlpoli,2
99,Here 's last week 's #elxn42 HATLEY Report ! Sign up on our website to receive it earlier . #polqc HTTPURL,0
100,"Today 's editorial : At #elxn42 midpoint , we 're on track toward a minority gov't HTTPURL",0
101,Harper and Accountability Then and Now #cdnpoli #elxn42,0
102,Just arrived for a night of fun & conversation with constituents ? ? ? #Cloverdale #Langley #Elxn42,1
103,#IWillVote2015 bcuz if Harper had his way he would cancel Labour Day ! #elxn42 #cdnpoli #labourday,0
104,"Um , this is scary . #cdnpoli #elxn42 HTTPURL",0
105,#NDP poach CPC talking POINTS . I call ' copyright infringement ' . At least TRY to be original . #elxn42 #cdnpoli #lpc,2
106,The new conservative morality . #cdnpoli #elxn42 HTTPURL,0
107,Mylene Freeman supports VIA #cdnpoli #elxn42 #savevia,0
108,"Con Candidates Ca n't Attend All Candidates Debates , Talk to Media ! Democracy ? #cdnpoli #elxn42 HTTPURL",1
109,"In between calls , sign blitz , canvassing , team @USER is out in massive force today ! #misspoli #elxn42",0
110,You can use to see changing policy positions on still relevant issues . #Elxn42 HTTPURL,2
111,@USER gets thumbs down at #Green booth @USER in #HamOnt . @USER @USER #cdnpoli #elxn2015,1
112,@USER The only choice for a Stronger Economy and a Safer Canada #Abbotsford #MMFC #elxn42 @USER,1
113,Pay attention to who 's engaging w #Indigenous Ntns between elxns b / c that shows true willingness . See attach : #elxn42,0
114,"Huge fan girl moment as I chatted w / former prime minister , Paul Martin 2day . #Elxn42 #LPC #GenerationTrudeau #OYL",1
115,"@USER @USER calls loan sharks , friends . #ndpfail #ready4change #elxn42",1
116,OUCH ! Painful to see #communityhealthcentre as backdrop for . @USER @USER #elxn42 HTTPURL,2
117,"Conservative Party of Canada , the place for men with convictions . #cdnpoli #elxn42",2
118,A great night to meet the residents in Deer Run ! #RealChange #elxn42 #YYCMidnapore,1
119,"Message to earthlings . Rainbow followed . Ends at #elxn2015 sign in #HamOnt , #Canada . Green is the new Gold . #cdnpoli",0
120,Angry #Toronto resident reminded local candidate to ask first before putting sign up #greenparty #cdnpoli #elxn42,2
121,Waiting for #TomMulcair at #ndp rally in #brantford #elxn42 #cdnpoli,0
122,". @USER Know what gets me angry ? No talk of #healthcare , primarily #palliativecare in #elxn42 Help me fix that !",1
123,CanvassedWaterloo area yesterday . People so sick of the cons . My job to tell them about @USER #elxn2015,1
124,Plans coming in ‘ very near future ' to help #SyrianRefugees : Stephen Harper #elxn42 #elxn2015 HTTPURL,1
125,"#veterans - regardless of pension issues , we should n't pull out of Syria . Stand by our troops in the #elxn42",0
126,Michelle Jean renounced her French citizenship before becoming Gov-Gen #justsayin #cdnpoli #polqc #fed2015 #elxn42,0
127,Harper tax cuts & credits #elxn42 #polqc,0
128,Timely Art Exhibition in Ottawa this October : ... ... ... ... ... #Duffy #Duffytrial #GoodToGo #elxn42 HTTPURL,2
129,Great group shot from yesterday 's @USER in #yyc ! #NDPinYYC #elxn42 #TM4PM #westonndp #NDP,1
130,Remember this ? #cdnpoli #polqc #fed2015 #elxn42 #LPC on ISIS,2
